	MAIN_TAREADOR	start_plan_forward	init_complex_grid	ffts1_and_transpositions	
THREAD 1.1.1	108000.00	0.00	0.00	0.00	
THREAD 1.1.2	0.00	14000.00	0.00	0.00	
THREAD 1.1.3	0.00	0.00	54442000.00	0.00	
THREAD 1.1.4	0.00	0.00	0.00	539208000.00	

Total	108000.00	14000.00	54442000.00	539208000.00	
Average	108000.00	14000.00	54442000.00	539208000.00	
Maximum	108000.00	14000.00	54442000.00	539208000.00	
Minimum	108000.00	14000.00	54442000.00	539208000.00	
Stdev	0.00	0.00	0.00	0.00	
Avg/Max	1.00	1.00	1.00	1.00	

