	1	2	3	4	
CPU 1.1	1019000.00	105000.00	5201000.00	160770000.00	
CPU 1.2	0.00	126000.00	6555000.00	194135000.00	
CPU 1.3	269000.00	224000.00	6541000.00	181236000.00	
CPU 1.4	0.00	0.00	1340000.00	150318000.00	

Total	1288000.00	455000.00	19637000.00	686459000.00	
Average	644000.00	151666.67	4909250.00	171614750.00	
Maximum	1019000.00	224000.00	6555000.00	194135000.00	
Minimum	269000.00	105000.00	1340000.00	150318000.00	
Stdev	375000.00	51860.93	2132824.70	17109136.99	
Avg/Max	0.63	0.68	0.75	0.88	

